DESCRIPTION;Matrice des scores pour toutes les destinations apparaissant top1 au moins 1 fois. Colonnes 3..218 = scénarios (trek/rando/faune/tour).;Scénarios=216;Destinations=12
Destination;WinsTop1;R0_F0_TOUR0;R0_F1_TOUR0;R0_F2_TOUR0;R0_F3_TOUR0;R0_F4_TOUR0;R0_F5_TOUR0;R1_F0_TOUR0;R1_F1_TOUR0;R1_F2_TOUR0;R1_F3_TOUR0;R1_F4_TOUR0;R1_F5_TOUR0;R2_F0_TOUR0;R2_F1_TOUR0;R2_F2_TOUR0;R2_F3_TOUR0;R2_F4_TOUR0;R2_F5_TOUR0;R3_F0_TOUR0;R3_F1_TOUR0;R3_F2_TOUR0;R3_F3_TOUR0;R3_F4_TOUR0;R3_F5_TOUR0;R4_F0_TOUR0;R4_F1_TOUR0;R4_F2_TOUR0;R4_F3_TOUR0;R4_F4_TOUR0;R4_F5_TOUR0;R5_F0_TOUR0;R5_F1_TOUR0;R5_F2_TOUR0;R5_F3_TOUR0;R5_F4_TOUR0;R5_F5_TOUR0;R0_F0_TOUR1;R0_F1_TOUR1;R0_F2_TOUR1;R0_F3_TOUR1;R0_F4_TOUR1;R0_F5_TOUR1;R1_F0_TOUR1;R1_F1_TOUR1;R1_F2_TOUR1;R1_F3_TOUR1;R1_F4_TOUR1;R1_F5_TOUR1;R2_F0_TOUR1;R2_F1_TOUR1;R2_F2_TOUR1;R2_F3_TOUR1;R2_F4_TOUR1;R2_F5_TOUR1;R3_F0_TOUR1;R3_F1_TOUR1;R3_F2_TOUR1;R3_F3_TOUR1;R3_F4_TOUR1;R3_F5_TOUR1;R4_F0_TOUR1;R4_F1_TOUR1;R4_F2_TOUR1;R4_F3_TOUR1;R4_F4_TOUR1;R4_F5_TOUR1;R5_F0_TOUR1;R5_F1_TOUR1;R5_F2_TOUR1;R5_F3_TOUR1;R5_F4_TOUR1;R5_F5_TOUR1;R0_F0_TOUR2;R0_F1_TOUR2;R0_F2_TOUR2;R0_F3_TOUR2;R0_F4_TOUR2;R0_F5_TOUR2;R1_F0_TOUR2;R1_F1_TOUR2;R1_F2_TOUR2;R1_F3_TOUR2;R1_F4_TOUR2;R1_F5_TOUR2;R2_F0_TOUR2;R2_F1_TOUR2;R2_F2_TOUR2;R2_F3_TOUR2;R2_F4_TOUR2;R2_F5_TOUR2;R3_F0_TOUR2;R3_F1_TOUR2;R3_F2_TOUR2;R3_F3_TOUR2;R3_F4_TOUR2;R3_F5_TOUR2;R4_F0_TOUR2;R4_F1_TOUR2;R4_F2_TOUR2;R4_F3_TOUR2;R4_F4_TOUR2;R4_F5_TOUR2;R5_F0_TOUR2;R5_F1_TOUR2;R5_F2_TOUR2;R5_F3_TOUR2;R5_F4_TOUR2;R5_F5_TOUR2;R0_F0_TOUR3;R0_F1_TOUR3;R0_F2_TOUR3;R0_F3_TOUR3;R0_F4_TOUR3;R0_F5_TOUR3;R1_F0_TOUR3;R1_F1_TOUR3;R1_F2_TOUR3;R1_F3_TOUR3;R1_F4_TOUR3;R1_F5_TOUR3;R2_F0_TOUR3;R2_F1_TOUR3;R2_F2_TOUR3;R2_F3_TOUR3;R2_F4_TOUR3;R2_F5_TOUR3;R3_F0_TOUR3;R3_F1_TOUR3;R3_F2_TOUR3;R3_F3_TOUR3;R3_F4_TOUR3;R3_F5_TOUR3;R4_F0_TOUR3;R4_F1_TOUR3;R4_F2_TOUR3;R4_F3_TOUR3;R4_F4_TOUR3;R4_F5_TOUR3;R5_F0_TOUR3;R5_F1_TOUR3;R5_F2_TOUR3;R5_F3_TOUR3;R5_F4_TOUR3;R5_F5_TOUR3;R0_F0_TOUR4;R0_F1_TOUR4;R0_F2_TOUR4;R0_F3_TOUR4;R0_F4_TOUR4;R0_F5_TOUR4;R1_F0_TOUR4;R1_F1_TOUR4;R1_F2_TOUR4;R1_F3_TOUR4;R1_F4_TOUR4;R1_F5_TOUR4;R2_F0_TOUR4;R2_F1_TOUR4;R2_F2_TOUR4;R2_F3_TOUR4;R2_F4_TOUR4;R2_F5_TOUR4;R3_F0_TOUR4;R3_F1_TOUR4;R3_F2_TOUR4;R3_F3_TOUR4;R3_F4_TOUR4;R3_F5_TOUR4;R4_F0_TOUR4;R4_F1_TOUR4;R4_F2_TOUR4;R4_F3_TOUR4;R4_F4_TOUR4;R4_F5_TOUR4;R5_F0_TOUR4;R5_F1_TOUR4;R5_F2_TOUR4;R5_F3_TOUR4;R5_F4_TOUR4;R5_F5_TOUR4;R0_F0_TOUR5;R0_F1_TOUR5;R0_F2_TOUR5;R0_F3_TOUR5;R0_F4_TOUR5;R0_F5_TOUR5;R1_F0_TOUR5;R1_F1_TOUR5;R1_F2_TOUR5;R1_F3_TOUR5;R1_F4_TOUR5;R1_F5_TOUR5;R2_F0_TOUR5;R2_F1_TOUR5;R2_F2_TOUR5;R2_F3_TOUR5;R2_F4_TOUR5;R2_F5_TOUR5;R3_F0_TOUR5;R3_F1_TOUR5;R3_F2_TOUR5;R3_F3_TOUR5;R3_F4_TOUR5;R3_F5_TOUR5;R4_F0_TOUR5;R4_F1_TOUR5;R4_F2_TOUR5;R4_F3_TOUR5;R4_F4_TOUR5;R4_F5_TOUR5;R5_F0_TOUR5;R5_F1_TOUR5;R5_F2_TOUR5;R5_F3_TOUR5;R5_F4_TOUR5;R5_F5_TOUR5
DOLOMITES (ITALIE) (undefined);40;0;1;2;3;4;5;0;1;2;3;4;5;0;1;2;3;4;5;0;1;2;3;4;5;0;1;2;3;4;5;0;1;2;3;4;5;0;1;2;3;4;5;18.92;19.92;20.92;21.92;22.92;23.92;37.84;38.84;39.84;40.84;41.84;42.84;56.76;57.76;58.76;59.76;60.76;61.76;75.68;76.68;77.68;78.68;79.68;80.68;94.6;95.6;96.6;97.6;98.6;99.6;0;1;2;3;4;5;37.84;38.84;39.84;40.84;41.84;42.84;75.68;76.68;77.68;78.68;79.68;80.68;113.52;114.52;115.52;116.52;117.52;118.52;151.36;152.36;153.36;154.36;155.36;156.36;189.2;190.2;191.2;192.2;193.2;194.2;0;1;2;3;4;5;56.76;57.76;58.76;59.76;60.76;61.76;113.52;114.52;115.52;116.52;117.52;118.52;170.28;171.28;172.28;173.28;174.28;175.28;227.04;228.04;229.04;230.04;231.04;232.04;283.8;284.8;285.8;286.8;287.8;288.8;0;1;2;3;4;5;85.14;86.14;87.14;88.14;89.14;90.14;170.28;171.28;172.28;173.28;174.28;175.28;255.42;256.42;257.42;258.42;259.42;260.42;340.56;341.56;342.56;343.56;344.56;345.56;425.7;426.7;427.7;428.7;429.7;430.7;0;1;2;3;4;5;94.6;95.6;96.6;97.6;98.6;99.6;189.2;190.2;191.2;192.2;193.2;194.2;283.8;284.8;285.8;286.8;287.8;288.8;378.4;379.4;380.4;381.4;382.4;383.4;473;474;475;476;477;478
RWANDA (undefined);30;0;14;28;42;56;70;54.4;68.4;82.4;96.4;110.4;124.4;108.8;122.8;136.8;150.8;164.8;178.8;163.2;177.2;191.2;205.2;219.2;233.2;217.6;231.6;245.6;259.6;273.6;287.6;272;286;300;314;328;342;0;14;28;42;56;70;68;82;96;110;124;138;136;150;164;178;192;206;204;218;232;246;260;274;272;286;300;314;328;342;340;354;368;382;396;410;0;14;28;42;56;70;61.2;75.2;89.2;103.2;117.2;131.2;122.4;136.4;150.4;164.4;178.4;192.4;183.6;197.6;211.6;225.6;239.6;253.6;244.8;258.8;272.8;286.8;300.8;314.8;306;320;334;348;362;376;0;14;28;42;56;70;47.6;61.6;75.6;89.6;103.6;117.6;95.2;109.2;123.2;137.2;151.2;165.2;142.8;156.8;170.8;184.8;198.8;212.8;190.4;204.4;218.4;232.4;246.4;260.4;238;252;266;280;294;308;0;14;28;42;56;70;27.2;41.2;55.2;69.2;83.2;97.2;54.4;68.4;82.4;96.4;110.4;124.4;81.6;95.6;109.6;123.6;137.6;151.6;108.8;122.8;136.8;150.8;164.8;178.8;136;150;164;178;192;206;0;14;28;42;56;70;27.2;41.2;55.2;69.2;83.2;97.2;54.4;68.4;82.4;96.4;110.4;124.4;81.6;95.6;109.6;123.6;137.6;151.6;108.8;122.8;136.8;150.8;164.8;178.8;136;150;164;178;192;206
TASMANIE (AUSTRALIE) (undefined);30;0;11;22;33;44;55;71.92;82.92;93.92;104.92;115.92;126.92;143.84;154.84;165.84;176.84;187.84;198.84;215.76;226.76;237.76;248.76;259.76;270.76;287.68;298.68;309.68;320.68;331.68;342.68;359.6;370.6;381.6;392.6;403.6;414.6;0;11;22;33;44;55;89.9;100.9;111.9;122.9;133.9;144.9;179.8;190.8;201.8;212.8;223.8;234.8;269.7;280.7;291.7;302.7;313.7;324.7;359.6;370.6;381.6;392.6;403.6;414.6;449.5;460.5;471.5;482.5;493.5;504.5;0;11;22;33;44;55;80.91;91.91;102.91;113.91;124.91;135.91;161.82;172.82;183.82;194.82;205.82;216.82;242.73;253.73;264.73;275.73;286.73;297.73;323.64;334.64;345.64;356.64;367.64;378.64;404.55;415.55;426.55;437.55;448.55;459.55;0;11;22;33;44;55;62.93;73.93;84.93;95.93;106.93;117.93;125.86;136.86;147.86;158.86;169.86;180.86;188.79;199.79;210.79;221.79;232.79;243.79;251.72;262.72;273.72;284.72;295.72;306.72;314.65;325.65;336.65;347.65;358.65;369.65;0;11;22;33;44;55;35.96;46.96;57.96;68.96;79.96;90.96;71.92;82.92;93.92;104.92;115.92;126.92;107.88;118.88;129.88;140.88;151.88;162.88;143.84;154.84;165.84;176.84;187.84;198.84;179.8;190.8;201.8;212.8;223.8;234.8;0;11;22;33;44;55;35.96;46.96;57.96;68.96;79.96;90.96;71.92;82.92;93.92;104.92;115.92;126.92;107.88;118.88;129.88;140.88;151.88;162.88;143.84;154.84;165.84;176.84;187.84;198.84;179.8;190.8;201.8;212.8;223.8;234.8
LE KAMTCHATKA - RUSSIE (undefined);23;0;0;0;0;0;0;90.6;90.6;90.6;90.6;90.6;90.6;181.2;181.2;181.2;181.2;181.2;181.2;271.8;271.8;271.8;271.8;271.8;271.8;362.4;362.4;362.4;362.4;362.4;362.4;453;453;453;453;453;453;0;0;0;0;0;0;72.48;72.48;72.48;72.48;72.48;72.48;144.96;144.96;144.96;144.96;144.96;144.96;217.44;217.44;217.44;217.44;217.44;217.44;289.92;289.92;289.92;289.92;289.92;289.92;362.4;362.4;362.4;362.4;362.4;362.4;0;0;0;0;0;0;63.42;63.42;63.42;63.42;63.42;63.42;126.84;126.84;126.84;126.84;126.84;126.84;190.26;190.26;190.26;190.26;190.26;190.26;253.68;253.68;253.68;253.68;253.68;253.68;317.1;317.1;317.1;317.1;317.1;317.1;0;0;0;0;0;0;45.3;45.3;45.3;45.3;45.3;45.3;90.6;90.6;90.6;90.6;90.6;90.6;135.9;135.9;135.9;135.9;135.9;135.9;181.2;181.2;181.2;181.2;181.2;181.2;226.5;226.5;226.5;226.5;226.5;226.5;0;0;0;0;0;0;18.12;18.12;18.12;18.12;18.12;18.12;36.24;36.24;36.24;36.24;36.24;36.24;54.36;54.36;54.36;54.36;54.36;54.36;72.48;72.48;72.48;72.48;72.48;72.48;90.6;90.6;90.6;90.6;90.6;90.6;0;0;0;0;0;0;18.12;18.12;18.12;18.12;18.12;18.12;36.24;36.24;36.24;36.24;36.24;36.24;54.36;54.36;54.36;54.36;54.36;54.36;72.48;72.48;72.48;72.48;72.48;72.48;90.6;90.6;90.6;90.6;90.6;90.6
SRI LANKA (undefined);22;0;12;24;36;48;60;49.26;61.26;73.26;85.26;97.26;109.26;98.52;110.52;122.52;134.52;146.52;158.52;147.78;159.78;171.78;183.78;195.78;207.78;197.04;209.04;221.04;233.04;245.04;257.04;246.3;258.3;270.3;282.3;294.3;306.3;0;12;24;36;48;60;65.68;77.68;89.68;101.68;113.68;125.68;131.36;143.36;155.36;167.36;179.36;191.36;197.04;209.04;221.04;233.04;245.04;257.04;262.72;274.72;286.72;298.72;310.72;322.72;328.4;340.4;352.4;364.4;376.4;388.4;0;12;24;36;48;60;82.1;94.1;106.1;118.1;130.1;142.1;164.2;176.2;188.2;200.2;212.2;224.2;246.3;258.3;270.3;282.3;294.3;306.3;328.4;340.4;352.4;364.4;376.4;388.4;410.5;422.5;434.5;446.5;458.5;470.5;0;12;24;36;48;60;73.89;85.89;97.89;109.89;121.89;133.89;147.78;159.78;171.78;183.78;195.78;207.78;221.67;233.67;245.67;257.67;269.67;281.67;295.56;307.56;319.56;331.56;343.56;355.56;369.45;381.45;393.45;405.45;417.45;429.45;0;12;24;36;48;60;49.26;61.26;73.26;85.26;97.26;109.26;98.52;110.52;122.52;134.52;146.52;158.52;147.78;159.78;171.78;183.78;195.78;207.78;197.04;209.04;221.04;233.04;245.04;257.04;246.3;258.3;270.3;282.3;294.3;306.3;0;12;24;36;48;60;49.26;61.26;73.26;85.26;97.26;109.26;98.52;110.52;122.52;134.52;146.52;158.52;147.78;159.78;171.78;183.78;195.78;207.78;197.04;209.04;221.04;233.04;245.04;257.04;246.3;258.3;270.3;282.3;294.3;306.3
OUEST DU CANADA (undefined);21;0;7;14;21;28;35;36.8;43.8;50.8;57.8;64.8;71.8;73.6;80.6;87.6;94.6;101.6;108.6;110.4;117.4;124.4;131.4;138.4;145.4;147.2;154.2;161.2;168.2;175.2;182.2;184;191;198;205;212;219;0;7;14;21;28;35;55.2;62.2;69.2;76.2;83.2;90.2;110.4;117.4;124.4;131.4;138.4;145.4;165.6;172.6;179.6;186.6;193.6;200.6;220.8;227.8;234.8;241.8;248.8;255.8;276;283;290;297;304;311;0;7;14;21;28;35;73.6;80.6;87.6;94.6;101.6;108.6;147.2;154.2;161.2;168.2;175.2;182.2;220.8;227.8;234.8;241.8;248.8;255.8;294.4;301.4;308.4;315.4;322.4;329.4;368;375;382;389;396;403;0;7;14;21;28;35;92;99;106;113;120;127;184;191;198;205;212;219;276;283;290;297;304;311;368;375;382;389;396;403;460;467;474;481;488;495;0;7;14;21;28;35;64.4;71.4;78.4;85.4;92.4;99.4;128.8;135.8;142.8;149.8;156.8;163.8;193.2;200.2;207.2;214.2;221.2;228.2;257.6;264.6;271.6;278.6;285.6;292.6;322;329;336;343;350;357;0;7;14;21;28;35;73.6;80.6;87.6;94.6;101.6;108.6;147.2;154.2;161.2;168.2;175.2;182.2;220.8;227.8;234.8;241.8;248.8;255.8;294.4;301.4;308.4;315.4;322.4;329.4;368;375;382;389;396;403
GRAND OUEST (ETATS-UNIS) (undefined);18;0;5;10;15;20;25;0;5;10;15;20;25;0;5;10;15;20;25;0;5;10;15;20;25;0;5;10;15;20;25;0;5;10;15;20;25;0;5;10;15;20;25;18;23;28;33;38;43;36;41;46;51;56;61;54;59;64;69;74;79;72;77;82;87;92;97;90;95;100;105;110;115;0;5;10;15;20;25;36;41;46;51;56;61;72;77;82;87;92;97;108;113;118;123;128;133;144;149;154;159;164;169;180;185;190;195;200;205;0;5;10;15;20;25;54;59;64;69;74;79;108;113;118;123;128;133;162;167;172;177;182;187;216;221;226;231;236;241;270;275;280;285;290;295;0;5;10;15;20;25;81;86;91;96;101;106;162;167;172;177;182;187;243;248;253;258;263;268;324;329;334;339;344;349;405;410;415;420;425;430;0;5;10;15;20;25;90;95;100;105;110;115;180;185;190;195;200;205;270;275;280;285;290;295;360;365;370;375;380;385;450;455;460;465;470;475
ACORES (PORTUGAL) (undefined);9;0;1;2;3;4;5;52.2;53.2;54.2;55.2;56.2;57.2;104.4;105.4;106.4;107.4;108.4;109.4;156.6;157.6;158.6;159.6;160.6;161.6;208.8;209.8;210.8;211.8;212.8;213.8;261;262;263;264;265;266;0;1;2;3;4;5;69.6;70.6;71.6;72.6;73.6;74.6;139.2;140.2;141.2;142.2;143.2;144.2;208.8;209.8;210.8;211.8;212.8;213.8;278.4;279.4;280.4;281.4;282.4;283.4;348;349;350;351;352;353;0;1;2;3;4;5;87;88;89;90;91;92;174;175;176;177;178;179;261;262;263;264;265;266;348;349;350;351;352;353;435;436;437;438;439;440;0;1;2;3;4;5;78.3;79.3;80.3;81.3;82.3;83.3;156.6;157.6;158.6;159.6;160.6;161.6;234.9;235.9;236.9;237.9;238.9;239.9;313.2;314.2;315.2;316.2;317.2;318.2;391.5;392.5;393.5;394.5;395.5;396.5;0;1;2;3;4;5;52.2;53.2;54.2;55.2;56.2;57.2;104.4;105.4;106.4;107.4;108.4;109.4;156.6;157.6;158.6;159.6;160.6;161.6;208.8;209.8;210.8;211.8;212.8;213.8;261;262;263;264;265;266;0;1;2;3;4;5;52.2;53.2;54.2;55.2;56.2;57.2;104.4;105.4;106.4;107.4;108.4;109.4;156.6;157.6;158.6;159.6;160.6;161.6;208.8;209.8;210.8;211.8;212.8;213.8;261;262;263;264;265;266
PATAGONIE (undefined);7;0;0;0;0;0;0;37.56;37.56;37.56;37.56;37.56;37.56;75.12;75.12;75.12;75.12;75.12;75.12;112.68;112.68;112.68;112.68;112.68;112.68;150.24;150.24;150.24;150.24;150.24;150.24;187.8;187.8;187.8;187.8;187.8;187.8;0;0;0;0;0;0;56.34;56.34;56.34;56.34;56.34;56.34;112.68;112.68;112.68;112.68;112.68;112.68;169.02;169.02;169.02;169.02;169.02;169.02;225.36;225.36;225.36;225.36;225.36;225.36;281.7;281.7;281.7;281.7;281.7;281.7;0;0;0;0;0;0;75.12;75.12;75.12;75.12;75.12;75.12;150.24;150.24;150.24;150.24;150.24;150.24;225.36;225.36;225.36;225.36;225.36;225.36;300.48;300.48;300.48;300.48;300.48;300.48;375.6;375.6;375.6;375.6;375.6;375.6;0;0;0;0;0;0;93.9;93.9;93.9;93.9;93.9;93.9;187.8;187.8;187.8;187.8;187.8;187.8;281.7;281.7;281.7;281.7;281.7;281.7;375.6;375.6;375.6;375.6;375.6;375.6;469.5;469.5;469.5;469.5;469.5;469.5;0;0;0;0;0;0;65.73;65.73;65.73;65.73;65.73;65.73;131.46;131.46;131.46;131.46;131.46;131.46;197.19;197.19;197.19;197.19;197.19;197.19;262.92;262.92;262.92;262.92;262.92;262.92;328.65;328.65;328.65;328.65;328.65;328.65;0;0;0;0;0;0;75.12;75.12;75.12;75.12;75.12;75.12;150.24;150.24;150.24;150.24;150.24;150.24;225.36;225.36;225.36;225.36;225.36;225.36;300.48;300.48;300.48;300.48;300.48;300.48;375.6;375.6;375.6;375.6;375.6;375.6
NAMIBIE (undefined);7;0;11;22;33;44;55;74;85;96;107;118;129;148;159;170;181;192;203;222;233;244;255;266;277;296;307;318;329;340;351;370;381;392;403;414;425;0;11;22;33;44;55;59.2;70.2;81.2;92.2;103.2;114.2;118.4;129.4;140.4;151.4;162.4;173.4;177.6;188.6;199.6;210.6;221.6;232.6;236.8;247.8;258.8;269.8;280.8;291.8;296;307;318;329;340;351;0;11;22;33;44;55;51.8;62.8;73.8;84.8;95.8;106.8;103.6;114.6;125.6;136.6;147.6;158.6;155.4;166.4;177.4;188.4;199.4;210.4;207.2;218.2;229.2;240.2;251.2;262.2;259;270;281;292;303;314;0;11;22;33;44;55;37;48;59;70;81;92;74;85;96;107;118;129;111;122;133;144;155;166;148;159;170;181;192;203;185;196;207;218;229;240;0;11;22;33;44;55;14.8;25.8;36.8;47.8;58.8;69.8;29.6;40.6;51.6;62.6;73.6;84.6;44.4;55.4;66.4;77.4;88.4;99.4;59.2;70.2;81.2;92.2;103.2;114.2;74;85;96;107;118;129;0;11;22;33;44;55;14.8;25.8;36.8;47.8;58.8;69.8;29.6;40.6;51.6;62.6;73.6;84.6;44.4;55.4;66.4;77.4;88.4;99.4;59.2;70.2;81.2;92.2;103.2;114.2;74;85;96;107;118;129
NOUVELLE-ZELANDE (undefined);6;0;0;0;0;0;0;19;19;19;19;19;19;38;38;38;38;38;38;57;57;57;57;57;57;76;76;76;76;76;76;95;95;95;95;95;95;0;0;0;0;0;0;38;38;38;38;38;38;76;76;76;76;76;76;114;114;114;114;114;114;152;152;152;152;152;152;190;190;190;190;190;190;0;0;0;0;0;0;57;57;57;57;57;57;114;114;114;114;114;114;171;171;171;171;171;171;228;228;228;228;228;228;285;285;285;285;285;285;0;0;0;0;0;0;76;76;76;76;76;76;152;152;152;152;152;152;228;228;228;228;228;228;304;304;304;304;304;304;380;380;380;380;380;380;0;0;0;0;0;0;76;76;76;76;76;76;152;152;152;152;152;152;228;228;228;228;228;228;304;304;304;304;304;304;380;380;380;380;380;380;0;0;0;0;0;0;85.5;85.5;85.5;85.5;85.5;85.5;171;171;171;171;171;171;256.5;256.5;256.5;256.5;256.5;256.5;342;342;342;342;342;342;427.5;427.5;427.5;427.5;427.5;427.5
COSTA RICA (undefined);3;0;13;26;39;52;65;27.6;40.6;53.6;66.6;79.6;92.6;55.2;68.2;81.2;94.2;107.2;120.2;82.8;95.8;108.8;121.8;134.8;147.8;110.4;123.4;136.4;149.4;162.4;175.4;138;151;164;177;190;203;0;13;26;39;52;65;41.4;54.4;67.4;80.4;93.4;106.4;82.8;95.8;108.8;121.8;134.8;147.8;124.2;137.2;150.2;163.2;176.2;189.2;165.6;178.6;191.6;204.6;217.6;230.6;207;220;233;246;259;272;0;13;26;39;52;65;55.2;68.2;81.2;94.2;107.2;120.2;110.4;123.4;136.4;149.4;162.4;175.4;165.6;178.6;191.6;204.6;217.6;230.6;220.8;233.8;246.8;259.8;272.8;285.8;276;289;302;315;328;341;0;13;26;39;52;65;69;82;95;108;121;134;138;151;164;177;190;203;207;220;233;246;259;272;276;289;302;315;328;341;345;358;371;384;397;410;0;13;26;39;52;65;48.3;61.3;74.3;87.3;100.3;113.3;96.6;109.6;122.6;135.6;148.6;161.6;144.9;157.9;170.9;183.9;196.9;209.9;193.2;206.2;219.2;232.2;245.2;258.2;241.5;254.5;267.5;280.5;293.5;306.5;0;13;26;39;52;65;55.2;68.2;81.2;94.2;107.2;120.2;110.4;123.4;136.4;149.4;162.4;175.4;165.6;178.6;191.6;204.6;217.6;230.6;220.8;233.8;246.8;259.8;272.8;285.8;276;289;302;315;328;341
